type,key,value,translation
0,app_name,Risaala,Risaala
0,action_settings,Settings,
0,btn_home,Home,
0,btn_accounts,Accounts,
0,btn_phone_no,Phone Numbers,
0,btn_tutorial,Tutorial,
0,btn_help,Help,
0,btn_quit,Quit,
0,bt_errors,Errors,
0,btn_create_new,Create New Account,
0,btn_click,get phone,
0,btn_reset,Reset,
0,btn_delete,Delete,
0,btn_update,Update,
0,btn_change_password,Change Password,
0,tv_error_list,Error List,
0,btn_get_from_pb,Get from phone book,
0,btn_set_email_password,Set password On.\nThis will only process emails that have a password attached to them.,
0,dialog_new_password,New Password,
0,dialog_re_new_password,Re-New Password,
0,blocking_pattern,Blocking pattern,
0,btn_add_phone_pattern_to_block,Block phone,
0,tv_edit_pattern,edit pattern,
0,tv_patterns_list,Patterns List,
0,tv_add_pattern,add pattern,
0,tv_pattern_label,pattern,
0,tv_pattern_label_name,pattern name,
0,msg_delete_acc_fail,Delete account has failed,
0,msg_delete_acc_success,Account deleted successfully,
0,sms_select_email_acc,Select email account,
0,btn_tutorial_under_the_hood,Basic: Under the hood,
0,btn_tutorial_phone_handles,Using Phone Handles,
0,btn_tutorial_name_handle,Using Name Handles,
0,btn_tutorial_feature,Features,
0,pattern_begin_with,begin with...,
0,pattern_end_with,ends with...,
0,pattern_containing,contains...,
0,prompt_settings_updated,Settings have been updated successfully.,
0,international_curr_status_off,Your settings show your international texting is off,
0,international_sms_switch_on_question,Would you like to switch this feature on?,
0,international_on_confirm,International texting has been switched on,
0,international_on_fail,"Phone insert has been cancelled. This is an international number and international texting is switched off.
    You must change international texting on for you to insert this number. Please try again",
0,prompt_error_delete_success,Error deleted,
0,prompt_error_delete_fail,Error not deleted. Please try again,
0,bt_add_acc,Add Account,
0,bt_add_phone,Add Phone,
0,btn_add,Add,
0,btn_del_no,Delete Number,
0,tv_edit_phone,Edit Phone,
0,tv_sent_header,Sent,
0,unknown_phone_str,Unknown phone,
0,phone_deleted_str,phone: deleted,
0,error_check_pattern_is_valid,Error. Please check that the pattern you have inserted is valid.,
0,phone_update_fail,Phone update failed. Please check your details and try again,
0,phone_update_success,Phone updated successfully.,
0,phone_delete_fail,Phone delete has failed. Please try again,
0,phone_delete_success,Phone delete successfully.,
0,pass_change_success,Password change successfully changed,
0,pass_change_fail,Password change failed to be changed. Please try again.,
0,tv_name,Name,
0,tv_phone_add_new,Add New Phone,
0,tv_email_acc,Email Account,
0,tv_pass,Password,
0,tv_host,Server,
0,tv_port,Port,
0,tv_phonebook,Phone book,
0,tv_phones,Phones,
0,tv_phone,Phone,
0,dialog_ok,OK,
0,tv_email_folder_to_read,Email folder to read,
0,et_val_inbox,Inbox,
0,menu_delete_errors,Delete Errors,
0,tv_hostname,Server Hostname,
0,tv_SSL,SSL,
0,tv_min_phone,you must have at least one phone selected,
0,tv_phone_status_description,phone status,
0,cb_phone_blocked,on blocked list,
0,tv_check_mail_interval,Time interval between checking for mail (seconds),
0,tv_online_status,Disable \'email online\' status indicator on account page,
0,tv_allow_international_phones,Allow International SMS,
0,tv_allow_auto_add_phone_into_phonebook,"Allow auto-add phone numbers from email subject into phonebook.
        If not checked, you will have to add phones manually into phone book before allowing application to send to them.",
0,alert_sel_phone_no,select the phones you want to use with this email account,
0,tv_unit_no_phone_found,No phone numbers were found,
0,toast_no_phones_found,There are no phones in the phone book,
0,dialog_pick_phone,pick phone,
0,msg_no_mail,No Emails Found,
0,spin_host_prompt,Choose your email host,
0,spin_phonebook_default_mess,phone no.,
0,err_all_digit_error,Failed to insert this number. Please make sure that this number contains all digits,
0,err_null_found_phone_name,Please enter a valid name for your phone number.,
0,err_phone_already_exists,Failed to insert this number. This number already exists.,
0,err_email_update_fail,update failed. Please check the inputted values and try again.,
0,msg_email_update_success,Email account updated successfully,
0,msg_sms_delete_success,SMS successfully deleted,
0,msg_sms_delete_fail,Failed to delete SMS,
0,error_pg_problem,Problem,
0,error_pg_solution,Possible Solution,
0,error_pg_date,Date of occurrence,
0,error_upgrade_for_international,Please upgrade to turn on international texting,
0,btn_upgrade_now,Upgrade Now,
0,FT_what_you_get_upgrade,"
        What you get:\n\n
        - You get full access to :\n\n
            settings access\n
            time interval setting\n
            Text sms internationally\n
            unlimited email account addition\n
            adding unlimited phone numbers\n
            the ability to set password lock for better security\n
            \n\n
            the ability to use subject handlers to:\n\n
            add numbers dynamically\n
            use name handles to send texts to associated numbers\n
            \n\n
            the supporting of future app development.
    ",
0,btn_txt_upgraded_already,Upgraded already,
0,error_get_premium_message,"Error, this feature can only be accessed if you are a premium user. Please upgrade first.",
0,error_get_premium_message_limit_phone_ins,"Sorry, you must be a premium user to add more phone numbers. Please upgrade first.",
0,error_get_premium_message_limit_account_ins,"Sorry, you must be a premium user to add more email accounts. Please upgrade first.",
0,tv_show_sent_sms,Show sent Sms\',
0,tv_about,About,
0,tv_settings,Settings,
0,btn_red_list,Blocked List,
0,spin_SSL_prompt,SSL type,
0,tutorial_name_handle,"
        Using the \'name\' handle you must use\n\n
        Angle brackets \""<\"" \"">\""\n\n
        Inside the Angle brackets you must use the name handle followed by 2 colons \""n::\""
        \n\n
        You now have this in the subject area \""<n::  >\"".
        \n\n
        Inside the brackets you put the names of the people you want to text.
        \n\n
        These names must be pre-existing in the phone book.
        \n\n
        Please see the follow screenshot:
    ",
0,tutorial_phone_handle,"
        Using the \'phone\' handle you must use\n\n
        Angle brackets \""<\"" \"">\""\n\n
        Inside the Angle brackets you must use the phone handle followed by 2 colons \""t::\""
        \n\n\n
        You now have this in the subject area \""<t::  >\"".
        \n\n
        Inside the brackets you put the phones of the people you want to text.
        \n\n
        If the phones don\'t exist and you are a premium user, then the can be added automatically with the auto-add feature.
        \n\n
        You can also give your phone number a name handle so that mohammed.ali#0633468211 is added into the phone book with the name handle of mohammed.ali instead of an person.unknown
        \n\n
        Please see the follow screenshot:
    ",
0,tutorial_features,"
        For full control of who gets to send an SMS from your phone, we have added password protection to Risaala.
        \n\nTo use password protection, you must put \""pass#\"" inside your Angle brackets \""<\"" \"">\""
        \nThe password handle is \""pass#\"" followed by the password you have set.
        \n\n
        This password is set in the settings page and must take good care not to give this  to anyone you don\'t trust.
        \nYou must be a premium user to use this feature
        \n
        Please see the follow screenshot:
    ",
